ticker,name,country,exchange,type,source,yahoo_symbol
APRTEC,APRTEC,Sweden,OMX,Common Stock,Twelve Data,APRTEC
APRTEC.TO.1,APRTEC.TO.1,Sweden,OMX,Common Stock,Twelve Data,APRTEC.TO.1
APTA,Aptahem AB,Sweden,OMX,Common Stock,Twelve Data,APTA
APTR,AppSpotr AB,Sweden,OMX,Common Stock,Twelve Data,APTR
AQ,AQ Group AB,Sweden,OMX,Common Stock,Twelve Data,AQ
AQUAT,Aquaticus Real Estate AB,Sweden,OMX,Common Stock,Twelve Data,AQUAT
ARCANE,Arcane Crypto AB,Sweden,OMX,Common Stock,Twelve Data,ARCANE
ARCOMA,Arcoma AB,Sweden,OMX,Common Stock,Twelve Data,ARCOMA
ARCT,Arctic Minerals AB,Sweden,OMX,Common Stock,Twelve Data,ARCT
ARCTIC,Arctic Blue Beverages AB,Sweden,OMX,Common Stock,Twelve Data,ARCTIC
ARFA,Arctic Falls AB,Sweden,OMX,Common Stock,Twelve Data,ARFA
ARION.SDB,Arion banki hf.,Sweden,OMX,Common Stock,Twelve Data,ARION.SDB
ARJO.B,Arjo AB (publ),Sweden,OMX,Common Stock,Twelve Data,ARJO.B
AROC,Arocell AB,Sweden,OMX,Common Stock,Twelve Data,AROC
AROS,Aros Bostadsutveckling AB,Sweden,OMX,Common Stock,Twelve Data,AROS
ARP,Arctic Paper S.A.,Sweden,OMX,Common Stock,Twelve Data,ARP
ARPL,Arla Plast AB,Sweden,OMX,Common Stock,Twelve Data,ARPL
ASAB,Advanced Soltech Sweden AB,Sweden,OMX,Common Stock,Twelve Data,ASAB
ASAI,Artificial Solutions International AB,Sweden,OMX,Common Stock,Twelve Data,ASAI
ASKER,Asker Healthcare Group AB,Sweden,OMX,Common Stock,Twelve Data,ASKER
ASMDEE.B,Financière Amuse TopCo SAS,Sweden,OMX,Common Stock,Twelve Data,ASMDEE.B
ASSA.B,Assa Abloy AB,Sweden,OMX,Common Stock,Twelve Data,ASSA.B
