ticker,name,country,exchange,type,source,yahoo_symbol
GEST,"Gestamp Automoción, S.A.",Spain,BME,Common Stock,Twelve Data,GEST
GGC,General de Galerías Comerciales S.A.,Spain,BME,REIT,Twelve Data,GGC
GGR,Greening Group Global S.A.,Spain,BME,Common Stock,Twelve Data,GGR
GIGA,Gigas Hosting S.A.,Spain,BME,Common Stock,Twelve Data,GIGA
GRE,"Grenergy Renovables, S.A.",Spain,BME,Common Stock,Twelve Data,GRE
GRF,"Grifols, S.A.",Spain,BME,Common Stock,Twelve Data,GRF
GRF.PR.,GRIFOLS S.A. CLASE B,Spain,BME,Preferred Stock,Twelve Data,GRF.PR.
GRI,Grino Ecologic S.A.,Spain,BME,Common Stock,Twelve Data,GRI
GSJ,"Grupo Empresarial San José, S.A.",Spain,BME,Common Stock,Twelve Data,GSJ
HAN,Hannun S.A.,Spain,BME,Common Stock,Twelve Data,HAN
HBX,HBX Group International Plc,Spain,BME,Common Stock,Twelve Data,HBX
HLZ,Holaluz-Clidom S.A.,Spain,BME,Common Stock,Twelve Data,HLZ
HOME,Neinor Homes SA,Spain,BME,Common Stock,Twelve Data,HOME
IAG,International Consolidated Airlines Group S.A.,Spain,BME,Common Stock,Twelve Data,IAG
IBE,"Iberdrola, S.A.",Spain,BME,Common Stock,Twelve Data,IBE
IBG,"Iberpapel Gestión, S.A.",Spain,BME,Common Stock,Twelve Data,IBG
IDR,"Indra Sistemas, S.A.",Spain,BME,Common Stock,Twelve Data,IDR
IFLEX,Iflex Flexible Packaging S.A.,Spain,BME,Common Stock,Twelve Data,IFLEX
IMC,"Inmocemento, S.A.",Spain,BME,Common Stock,Twelve Data,IMC
INDXA,Indexa Capital Group S.A.,Spain,BME,Common Stock,Twelve Data,INDXA
ISUR,"Inmobiliaria del Sur, S.A.",Spain,BME,Common Stock,Twelve Data,ISUR
ITX,"Industria de Diseño Textil, S.A.",Spain,BME,Common Stock,Twelve Data,ITX
IZER,"Izertis, S.A.",Spain,BME,Common Stock,Twelve Data,IZER
KOM,Plasticos Compuestos S.A.,Spain,BME,Common Stock,Twelve Data,KOM
KOM.D,KOM.D,Spain,BME,Common Stock,Twelve Data,KOM.D
LAB,Labiana Health S.A.,Spain,BME,Common Stock,Twelve Data,LAB
LAB.D,Labiana Health S.A. Rights,Spain,BME,Common Stock,Twelve Data,LAB.D
LDA,"Línea Directa Aseguradora, S.A.",Spain,BME,Common Stock,Twelve Data,LDA
LGT,"Lingotes Especiales, S.A.",Spain,BME,Common Stock,Twelve Data,LGT
LIB,Libertas Siete S.A.,Spain,BME,Common Stock,Twelve Data,LIB
LLN,Lleidanetworks Serveis Telemàtics S.A.,Spain,BME,Common Stock,Twelve Data,LLN
LLYC,Llorente Y Cuenca S.A.,Spain,BME,Common Stock,Twelve Data,LLYC
LOG,"Logista Integral, S.A.",Spain,BME,Common Stock,Twelve Data,LOG
MAKS,Making Science Group S.A.,Spain,BME,Common Stock,Twelve Data,MAKS
MAP,Mapfre S.A.,Spain,BME,Common Stock,Twelve Data,MAP
MCM,"Miquel y Costas & Miquel, S.A.",Spain,BME,Common Stock,Twelve Data,MCM
MDF,"Duro Felguera, SA",Spain,BME,Common Stock,Twelve Data,MDF
MEL,"Meliá Hotels International, S.A.",Spain,BME,Common Stock,Twelve Data,MEL
MFEA,MFE-MediaForEurope N.V.,Spain,BME,Common Stock,Twelve Data,MFEA
MRL,"Merlin Properties SOCIMI, S.A.",Spain,BME,REIT,Twelve Data,MRL
MTB,Montebalito S.A.,Spain,BME,Common Stock,Twelve Data,MTB
MTS,ArcelorMittal S.A.,Spain,BME,Common Stock,Twelve Data,MTS
MVC,Metrovacesa S.A.,Spain,BME,Common Stock,Twelve Data,MVC
NAT,Natac Natural Ingredients S.A.,Spain,BME,REIT,Twelve Data,NAT
NBI,NBI Bearings Europe S.A.,Spain,BME,Common Stock,Twelve Data,NBI
NEA,"Nicolás Correa, S.A.",Spain,BME,Common Stock,Twelve Data,NEA
NTGY,"Naturgy Energy Group, S.A.",Spain,BME,Common Stock,Twelve Data,NTGY
NTH,"Naturhouse Health, S.A.",Spain,BME,Common Stock,Twelve Data,NTH
NXT,"Nueva Expresión Textil, S.A.",Spain,BME,Common Stock,Twelve Data,NXT
