ticker,name,country,exchange,type,source,yahoo_symbol
GLA1V,Glaston Oyj Abp,Finland,OMXH,Common Stock,Twelve Data,GLA1V
GOFORE,Gofore Oyj,Finland,OMXH,Common Stock,Twelve Data,GOFORE
GRK,GRK Infra Oyj,Finland,OMXH,Common Stock,Twelve Data,GRK
HARVIA,Harvia Oyj,Finland,OMXH,Common Stock,Twelve Data,HARVIA
HEALTH,Nightingale Health Oyj,Finland,OMXH,Common Stock,Twelve Data,HEALTH
HIAB,Hiab Oyj,Finland,OMXH,Common Stock,Twelve Data,HIAB
HKFOODS,HKFoods Oyj,Finland,OMXH,Common Stock,Twelve Data,HKFOODS
HKSAV,HKScan Oyj,Finland,OMXH,Common Stock,Twelve Data,HKSAV
HONBS,Honkarakenne Oyj B shares,Finland,OMXH,Common Stock,Twelve Data,HONBS
HRTIS,Herantis Pharma Oyj,Finland,OMXH,Common Stock,Twelve Data,HRTIS
HUH1V,Huhtamäki Oyj,Finland,OMXH,Common Stock,Twelve Data,HUH1V
ICP1V,Incap Oyj,Finland,OMXH,Common Stock,Twelve Data,ICP1V
ILKKA1,Ilkka Oyj,Finland,OMXH,Common Stock,Twelve Data,ILKKA1
ILKKA2,Ilkka Oyj,Finland,OMXH,Common Stock,Twelve Data,ILKKA2
INDERES,Inderes Oyj,Finland,OMXH,Common Stock,Twelve Data,INDERES
INVEST,Investors House Oyj,Finland,OMXH,Common Stock,Twelve Data,INVEST
KALMAR,Kalmar Oyj,Finland,OMXH,Common Stock,Twelve Data,KALMAR
KAMUX,Kamux Oyj,Finland,OMXH,Common Stock,Twelve Data,KAMUX
KCR,Konecranes Oyj,Finland,OMXH,Common Stock,Twelve Data,KCR
KELAS,Kesla Oyj Class A,Finland,OMXH,Common Stock,Twelve Data,KELAS
KEMIRA,Kemira Oyj,Finland,OMXH,Common Stock,Twelve Data,KEMIRA
KEMPOWR,Kempower Oyj,Finland,OMXH,Common Stock,Twelve Data,KEMPOWR
KESKOA,Kesko Oyj,Finland,OMXH,Common Stock,Twelve Data,KESKOA
KESKOB,Kesko Oyj Class B,Finland,OMXH,Common Stock,Twelve Data,KESKOB
KHG,KH Group Oyj,Finland,OMXH,Common Stock,Twelve Data,KHG
KNEBV,KONE Oyj Class B,Finland,OMXH,Common Stock,Twelve Data,KNEBV
KOJAMO,Kojamo Oyj,Finland,OMXH,Common Stock,Twelve Data,KOJAMO
KOSKI,Koskisen Oyj,Finland,OMXH,Common Stock,Twelve Data,KOSKI
KREATE,Kreate Group Oyj,Finland,OMXH,Common Stock,Twelve Data,KREATE
KSL,Keskisuomalainen Oyj,Finland,OMXH,Common Stock,Twelve Data,KSL
KSLAV,Keskisuomalainen Oyj,Finland,OMXH,Common Stock,Twelve Data,KSLAV
LAMOR,Lamor Corporation Oyj,Finland,OMXH,Common Stock,Twelve Data,LAMOR
LAPWALL,LapWall Oyj,Finland,OMXH,Common Stock,Twelve Data,LAPWALL
LASTIK,Lassila & Tikanoja Plc,Finland,OMXH,Common Stock,Twelve Data,LASTIK
LAT1V,Lassila & Tikanoja Oyj,Finland,OMXH,Common Stock,Twelve Data,LAT1V
LEADD,Leaddesk Oyj,Finland,OMXH,Common Stock,Twelve Data,LEADD
LEHTO,Lehto Group Oyj,Finland,OMXH,Common Stock,Twelve Data,LEHTO
LEMON,Lemonsoft Oyj,Finland,OMXH,Common Stock,Twelve Data,LEMON
LINDEX,Lindex Group Oyj,Finland,OMXH,Common Stock,Twelve Data,LINDEX
LOIHDE,Loihde Oyj,Finland,OMXH,Common Stock,Twelve Data,LOIHDE
LUOTEA,Luotea Plc,Finland,OMXH,Common Stock,Twelve Data,LUOTEA
MANTA,Mandatum Oyj,Finland,OMXH,Common Stock,Twelve Data,MANTA
MARAS,Martela Oyj,Finland,OMXH,Common Stock,Twelve Data,MARAS
MEKKO,Marimekko Oyj,Finland,OMXH,Common Stock,Twelve Data,MEKKO
MERIH,Meriaura Group Oyj,Finland,OMXH,Common Stock,Twelve Data,MERIH
MERUS,Merus Power Oyj,Finland,OMXH,Common Stock,Twelve Data,MERUS
METSA,Metsä Board Oyj A,Finland,OMXH,Common Stock,Twelve Data,METSA
METSB,Metsä Board Oyj B,Finland,OMXH,Common Stock,Twelve Data,METSB
METSO,Metso Oyj,Finland,OMXH,Common Stock,Twelve Data,METSO
MOCORP,Metso Outotec Oyj,Finland,OMXH,Common Stock,Twelve Data,MOCORP
MODU,Modulight Oy,Finland,OMXH,Common Stock,Twelve Data,MODU
MUSTI,Musti Group Oyj,Finland,OMXH,Common Stock,Twelve Data,MUSTI
NANOFH,Nanoform Finland Oyj,Finland,OMXH,Common Stock,Twelve Data,NANOFH
NDA.FI,Nordea Bank Abp,Finland,OMXH,Common Stock,Twelve Data,NDA.FI
NESTE,Neste Oyj,Finland,OMXH,Common Stock,Twelve Data,NESTE
NETUM,Netum Group Oyj,Finland,OMXH,Common Stock,Twelve Data,NETUM
NLG1V,Nurminen Logistics Oyj,Finland,OMXH,Common Stock,Twelve Data,NLG1V
NOHO,NoHo Partners Oyj,Finland,OMXH,Common Stock,Twelve Data,NOHO
NOKIA,Nokia Oyj,Finland,OMXH,Common Stock,Twelve Data,NOKIA
NORRH,Norrhydro Group Oyj,Finland,OMXH,Common Stock,Twelve Data,NORRH
NXTMH,Nexstim Oyj,Finland,OMXH,Common Stock,Twelve Data,NXTMH
OKDBV,Oriola Corporation,Finland,OMXH,Common Stock,Twelve Data,OKDBV
OLVAS,Olvi Oyj Class A Shares,Finland,OMXH,Common Stock,Twelve Data,OLVAS
OMASP,Oma Säästöpankki Oyj,Finland,OMXH,Common Stock,Twelve Data,OMASP
OPTOMED,Optomed Plc,Finland,OMXH,Common Stock,Twelve Data,OPTOMED
ORIOLA,Oriola Corporation,Finland,OMXH,Common Stock,Twelve Data,ORIOLA
ORNAV,Orion Oyj,Finland,OMXH,Common Stock,Twelve Data,ORNAV
ORNBV,Orion Oyj Class B,Finland,OMXH,Common Stock,Twelve Data,ORNBV
ORTHEX,Orthex Oyj,Finland,OMXH,Common Stock,Twelve Data,ORTHEX
OUT1V,Outokumpu Oyj,Finland,OMXH,Common Stock,Twelve Data,OUT1V
OVARO,Ovaro Kiinteistosijoitus Oyj,Finland,OMXH,Common Stock,Twelve Data,OVARO
PALLAS,Pallas Air Plc,Finland,OMXH,Common Stock,Twelve Data,PALLAS
PAMPALO,Endomines Finland Oyj,Finland,OMXH,Common Stock,Twelve Data,PAMPALO
PARTNE1,Partnera Oyj,Finland,OMXH,Common Stock,Twelve Data,PARTNE1
PIHLIS,Pihlajalinna Oyj,Finland,OMXH,Common Stock,Twelve Data,PIHLIS
PIIPPO,Piippo Oyj,Finland,OMXH,Common Stock,Twelve Data,PIIPPO
PNA1V,Panostaja Oyj,Finland,OMXH,Common Stock,Twelve Data,PNA1V
PON1V,Ponsse Oyj,Finland,OMXH,Common Stock,Twelve Data,PON1V
POSTI,Posti Group Oyj,Finland,OMXH,Common Stock,Twelve Data,POSTI
PUMU,Rebl Group Oyj,Finland,OMXH,Common Stock,Twelve Data,PUMU
PUUILO,Puuilo Oyj,Finland,OMXH,Common Stock,Twelve Data,PUUILO
QPR1V,QPR Software Oyj,Finland,OMXH,Common Stock,Twelve Data,QPR1V
QTCOM,Qt Group Plc,Finland,OMXH,Common Stock,Twelve Data,QTCOM
RAIKV,Raisio Oyj,Finland,OMXH,Common Stock,Twelve Data,RAIKV
RAIVV,Raisio Oyj Series V Shares,Finland,OMXH,Common Stock,Twelve Data,RAIVV
RAP1V,Rapala VMC Oyj,Finland,OMXH,Common Stock,Twelve Data,RAP1V
RAUTE,Raute Oyj Class A,Finland,OMXH,Common Stock,Twelve Data,RAUTE
REBL,Rebl Group Oyj,Finland,OMXH,Common Stock,Twelve Data,REBL
