ticker,name,country,exchange,type,source,yahoo_symbol
ACA,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACA
ACAKK,Crédit Agricole S.A. 2.625% 17-Mar-2027,France,Euronext,Common Stock,Twelve Data,ACAKK
ACAKZ,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAKZ
ACALB,Credit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALB
ACALG,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALG
ACALH,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALH
ACALK,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALK
ACALL,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALL
ACALM,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALM
ACALS,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALS
ACALT,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALT
ACALU,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALU
ACALV,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALV
ACALW,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALW
ACALX,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALX
ACALY,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALY
ACALZ,Credit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALZ
ACAMA,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAMA
ACAMB,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAMB
ACAMD,Credit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAMD
ACAMG,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAMG
ACAMH,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAMH
ACAMI,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAMI
ACAMJ,Credit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAMJ
ACAMK,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAMK
ACAMV,Credit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAMV
ACAMW,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAMW
ACAMY,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAMY
ACAMZ,Credit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAMZ
ACAN,Acanthe Développement SE,France,Euronext,REIT,Twelve Data,ACAN
ACANF,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACANF
ACAOB,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAOB
ACAOF,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAOF
ACAOH,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAOH
ACAOT,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAOT
ACAPV,Credit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAPV
ACAQH,Credit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAQH
ACAQI,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAQI
ACAQQ,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAQQ
ADOBS,Adocia Warrant,France,Euronext,Warrant,Twelve Data,ADOBS
ADOC,Adocia SA,France,Euronext,Common Stock,Twelve Data,ADOC
ADP,"Automatic Data Processing, Inc.",France,Euronext,Common Stock,Twelve Data,ADP
ADUX,Adux Inc.,France,Euronext,Common Stock,Twelve Data,ADUX
ADVI,Advini,France,Euronext,Common Stock,Twelve Data,ADVI
AELIS,Aelis Farma S.A.S.,France,Euronext,Common Stock,Twelve Data,AELIS
AENAF,Akuo Energy SAS,France,Euronext,Common Stock,Twelve Data,AENAF
AF,Air France-KLM SA,France,Euronext,Common Stock,Twelve Data,AF
AFAJ,AFKLM3.875%01JUL26,France,Euronext,Common Stock,Twelve Data,AFAJ
AFET.EUR,21Shares Artificial Superintell,France,Euronext,Common Stock,Twelve Data,AFET.EUR
AFME,Affluent Medical S.A.,France,Euronext,Common Stock,Twelve Data,AFME
AGPAA,"Ameriabank CJSC 9.25% Senior Unsecured Bonds due July 15, 2027",France,Euronext,Common Stock,Twelve Data,AGPAA
AI,Air Liquide S.A.,France,Euronext,Common Stock,Twelve Data,AI
AIMX.EUR,21Shares Immutable ETP,France,Euronext,Common Stock,Twelve Data,AIMX.EUR
AINJ.EUR,21Shares Injective Staking ETP,France,Euronext,Common Stock,Twelve Data,AINJ.EUR
AIR,Airbus SE,France,Euronext,Common Stock,Twelve Data,AIR
AKE,Arkema SA,France,Euronext,Common Stock,Twelve Data,AKE
AKEAN,Arkema S.A.,France,Euronext,Common Stock,Twelve Data,AKEAN
AKOM,Aerkomm Inc.,France,Euronext,Common Stock,Twelve Data,AKOM
AKW,Akwel SA,France,Euronext,Common Stock,Twelve Data,AKW
AL2SI,2CRSI S.A.,France,Euronext,Common Stock,Twelve Data,AL2SI
ALADO,Adomos S.A.,France,Euronext,Common Stock,Twelve Data,ALADO
ALAFY,Afyn SAS,France,Euronext,Common Stock,Twelve Data,ALAFY
ALAGO,E-Pango SAS,France,Euronext,Common Stock,Twelve Data,ALAGO
ALAGP,Agripower France S.A.,France,Euronext,Common Stock,Twelve Data,ALAGP
ALAGR,Agrogeneration,France,Euronext,Common Stock,Twelve Data,ALAGR
ALAIR,Groupe Airwell S.A.,France,Euronext,Common Stock,Twelve Data,ALAIR
ALALO,Acheter-Louer.Fr SA,France,Euronext,Common Stock,Twelve Data,ALALO
ALAMA,Ama Corp Plc,France,Euronext,Common Stock,Twelve Data,ALAMA
ALAQU,Aquila Inc.,France,Euronext,Common Stock,Twelve Data,ALAQU
ALARF,Adeunis S.A.,France,Euronext,Common Stock,Twelve Data,ALARF
ALATA,Atari SA,France,Euronext,Common Stock,Twelve Data,ALATA
ALATI,Actia Group S.A.,France,Euronext,Common Stock,Twelve Data,ALATI
ALAUD,Audacia S.A.,France,Euronext,Common Stock,Twelve Data,ALAUD
ALAVE,Aventador S.A.,France,Euronext,Common Stock,Twelve Data,ALAVE
ALAVI,Advini S.A.,France,Euronext,Common Stock,Twelve Data,ALAVI
ALBDM,Bd Multimedia Inc.,France,Euronext,Common Stock,Twelve Data,ALBDM
ALBFR,Sidetrade S.A.,France,Euronext,Common Stock,Twelve Data,ALBFR
ALBI,Gascogne S.A.,France,Euronext,Common Stock,Twelve Data,ALBI
ALBIO,Biosynex.,France,Euronext,Common Stock,Twelve Data,ALBIO
ALBIZ,Obiz S.A.,France,Euronext,Common Stock,Twelve Data,ALBIZ
ALBKK,Baikowski S.A.,France,Euronext,Common Stock,Twelve Data,ALBKK
ALBLD,Bilendi S.A.,France,Euronext,Common Stock,Twelve Data,ALBLD
ALBLU,Bluelinea S.A.,France,Euronext,Common Stock,Twelve Data,ALBLU
ALBOA,Boa Concept S.A.C.A.,France,Euronext,Common Stock,Twelve Data,ALBOA
ALBON,Compagnie Lebon,France,Euronext,Common Stock,Twelve Data,ALBON
ALBOO,Boostheat SAS,France,Euronext,Common Stock,Twelve Data,ALBOO
ALBOU,Bourrelier Group S.A.,France,Euronext,Common Stock,Twelve Data,ALBOU
ALBPK,Broadpeak S.A.,France,Euronext,Common Stock,Twelve Data,ALBPK
ALBPS,Biophytis S.A.,France,Euronext,Common Stock,Twelve Data,ALBPS
ALCAB,Cabasse S.A.,France,Euronext,Common Stock,Twelve Data,ALCAB
ALCAF,Cafom S.A.,France,Euronext,Common Stock,Twelve Data,ALCAF
ALCAR,Carmat S.A.,France,Euronext,Common Stock,Twelve Data,ALCAR
ALCAT,Catana Group SA,France,Euronext,Common Stock,Twelve Data,ALCAT
ALCBI,Crypto Blockchain Industries,France,Euronext,Common Stock,Twelve Data,ALCBI
ALCBX,Cibox Interactive,France,Euronext,Common Stock,Twelve Data,ALCBX
ALCG,Cabasse Group,France,Euronext,Common Stock,Twelve Data,ALCG
ALCGM,Cegedim S.A.,France,Euronext,Common Stock,Twelve Data,ALCGM
ALCIS,Catering International & Services S.A.,France,Euronext,Common Stock,Twelve Data,ALCIS
ALCJ,Crossject S.A.,France,Euronext,Common Stock,Twelve Data,ALCJ
ALCLA,Claranova SE,France,Euronext,Common Stock,Twelve Data,ALCLA
ALCLS,Cellectis S.A.,France,Euronext,Common Stock,Twelve Data,ALCLS
ALCOF,Cofidur S.A.,France,Euronext,Common Stock,Twelve Data,ALCOF
ALCOG,Cogra 48 S.A.,France,Euronext,Common Stock,Twelve Data,ALCOG
ALCOI,Coil Inc.,France,Euronext,Common Stock,Twelve Data,ALCOI
ALCOX,Nicox S.A.,France,Euronext,Common Stock,Twelve Data,ALCOX
ALCPB,Capital B S.A.,France,Euronext,Common Stock,Twelve Data,ALCPB
ALCRB,Carbios S.A.,France,Euronext,Common Stock,Twelve Data,ALCRB
ALCUR,Arcure S.A.,France,Euronext,Common Stock,Twelve Data,ALCUR
ALCWE,Charwood Energy S.A.,France,Euronext,Common Stock,Twelve Data,ALCWE
ALCYB,Cybergun S.A.,France,Euronext,Common Stock,Twelve Data,ALCYB
ALDAR,Damartex S.A.,France,Euronext,Common Stock,Twelve Data,ALDAR
ALDBL,Bernard Loiseau S.A.,France,Euronext,Common Stock,Twelve Data,ALDBL
ALDBT,DBT SA,France,Euronext,Common Stock,Twelve Data,ALDBT
ALDEL,Delfingen Industry S.A.,France,Euronext,Common Stock,Twelve Data,ALDEL
ALDEV,Devernois S.A.,France,Euronext,Common Stock,Twelve Data,ALDEV
ALDLS,D.L.S.I.,France,Euronext,Common Stock,Twelve Data,ALDLS
ALDLT,Delta Plus Group S.A.,France,Euronext,Common Stock,Twelve Data,ALDLT
ALDMS,Diagnostic Medical Systems S.A.,France,Euronext,Common Stock,Twelve Data,ALDMS
ALDNE,Dont Nod Entertainment S.A.,France,Euronext,Common Stock,Twelve Data,ALDNE
ALDNX,Dnxcorp S.E.,France,Euronext,Common Stock,Twelve Data,ALDNX
ALDOL,Dolfines S.A.,France,Euronext,Common Stock,Twelve Data,ALDOL
ALDRV,Drone Volt S.A.,France,Euronext,Common Stock,Twelve Data,ALDRV
ALDUB,Encres Dubuit S.A.,France,Euronext,Common Stock,Twelve Data,ALDUB
ALDUX,ADUX,France,Euronext,Common Stock,Twelve Data,ALDUX
ALDV,Ad Capital Société d'Investissements Immobiliers Cotée,France,Euronext,REIT,Twelve Data,ALDV
ALDVI,Advicenne S.A.,France,Euronext,Common Stock,Twelve Data,ALDVI
ALEAC,Ediliziacrobatica S.p.A.,France,Euronext,Common Stock,Twelve Data,ALEAC
ALECO,Ecomiam S.A.,France,Euronext,Common Stock,Twelve Data,ALECO
ALECP,Europacorp,France,Euronext,Common Stock,Twelve Data,ALECP
ALECR,Eurofins Cerep SAS,France,Euronext,Common Stock,Twelve Data,ALECR
ALEMG,Laboratoires Euromedis S.A.,France,Euronext,Common Stock,Twelve Data,ALEMG
ALEMV,Emova Group S.A.,France,Euronext,Common Stock,Twelve Data,ALEMV
ALENO,Enogia S.A.S.,France,Euronext,Common Stock,Twelve Data,ALENO
ALENT,Entreparticuliers.com,France,Euronext,Common Stock,Twelve Data,ALENT
ALEO2,EO2 Energy Corp.,France,Euronext,Common Stock,Twelve Data,ALEO2
ALERO,Euroland Corporate Société Anonyme,France,Euronext,Common Stock,Twelve Data,ALERO
ALERS,Eurobio Scientific S.A.,France,Euronext,Common Stock,Twelve Data,ALERS
ALESA,Ecoslops S.A.,France,Euronext,Common Stock,Twelve Data,ALESA
ALESE,Entech SA,France,Euronext,Common Stock,Twelve Data,ALESE
ALETC,"Energy Solar Tech, S.A.",France,Euronext,Common Stock,Twelve Data,ALETC
ALEUA,Eurasia Groupe S.A.,France,Euronext,Common Stock,Twelve Data,ALEUA
ALEUP,Europlasma S.A.,France,Euronext,Common Stock,Twelve Data,ALEUP
ALEXA,Exacompta Clairefontaine S.A.,France,Euronext,Common Stock,Twelve Data,ALEXA
ALEXP,One Experience Inc.,France,Euronext,Common Stock,Twelve Data,ALEXP
ALFLE,Fleury Michon S.A.,France,Euronext,Common Stock,Twelve Data,ALFLE
ALFLO,Florentaise SA,France,Euronext,Common Stock,Twelve Data,ALFLO
ALFOC,Focus Home Interactive SA,France,Euronext,Common Stock,Twelve Data,ALFOC
ALFOR,Forsee Power SA,France,Euronext,Common Stock,Twelve Data,ALFOR
ALFPC,Fountaine Pajot S.A.,France,Euronext,Common Stock,Twelve Data,ALFPC
ALFRE,Freelance.com,France,Euronext,Common Stock,Twelve Data,ALFRE
ALFUM,Fill Up Media S.A.,France,Euronext,Common Stock,Twelve Data,ALFUM
ALGAE,Fermentalg S.A.,France,Euronext,Common Stock,Twelve Data,ALGAE
ALGEC,Geci International S.A.,France,Euronext,Common Stock,Twelve Data,ALGEC
ALGEN,Genoway S.A.,France,Euronext,Common Stock,Twelve Data,ALGEN
ALGEV,Gévelot S.A.,France,Euronext,Common Stock,Twelve Data,ALGEV
ALGID,Egide S.A.,France,Euronext,Common Stock,Twelve Data,ALGID
ALGIL,Groupe Guillin,France,Euronext,Common Stock,Twelve Data,ALGIL
ALGIR,Signaux Girod S.A.,France,Euronext,Common Stock,Twelve Data,ALGIR
ALGLD,Gold By Gold S.A.,France,Euronext,Common Stock,Twelve Data,ALGLD
ALGRO,Grolleau S.A.C.A.,France,Euronext,Common Stock,Twelve Data,ALGRO
ALGTR,Groupe Tera S.A.,France,Euronext,Common Stock,Twelve Data,ALGTR
ALHAF,Haffner Energy S.A.,France,Euronext,Common Stock,Twelve Data,ALHAF
ALHEX,Hexaom S.A.,France,Euronext,Common Stock,Twelve Data,ALHEX
ALHF,HF Company,France,Euronext,Common Stock,Twelve Data,ALHF
ALHG,Louis Hachette Group S.A.,France,Euronext,Common Stock,Twelve Data,ALHG
ALHGO,Hamilton Global Opportunities PLC,France,Euronext,Common Stock,Twelve Data,ALHGO
ALHGR,Hoffmann Green Cement Technologies S.A.,France,Euronext,Common Stock,Twelve Data,ALHGR
ALHIT,Hitechpros SA,France,Euronext,Common Stock,Twelve Data,ALHIT
ALHOP,Hopscotch Groupe S.A.,France,Euronext,Common Stock,Twelve Data,ALHOP
ALHPI,Hopium S.A.,France,Euronext,Common Stock,Twelve Data,ALHPI
ALHRG,Herige S.A.,France,Euronext,Common Stock,Twelve Data,ALHRG
ALHRS,Hydrogen Refueling Solutions Inc.,France,Euronext,Common Stock,Twelve Data,ALHRS
ALHUN,Hunyvers S.A.C.A.,France,Euronext,Common Stock,Twelve Data,ALHUN
ALHYG,Hybrigenics SA,France,Euronext,Common Stock,Twelve Data,ALHYG
ALHYP,HiPay Group S.A.,France,Euronext,Common Stock,Twelve Data,ALHYP
ALI2S,I2S S.A.,France,Euronext,Common Stock,Twelve Data,ALI2S
ALIBR,Calibre SA,France,Euronext,Common Stock,Twelve Data,ALIBR
ALICA,Icape Holding S.A.,France,Euronext,Common Stock,Twelve Data,ALICA
ALIE,Sipario Movies Inc.,France,Euronext,Common Stock,Twelve Data,ALIE
ALIKO,Ikonisys S.A.,France,Euronext,Common Stock,Twelve Data,ALIKO
ALIMO,Groupimo S.A.,France,Euronext,Common Stock,Twelve Data,ALIMO
ALIMP,Implanet S.A.,France,Euronext,Common Stock,Twelve Data,ALIMP
ALIMR,Immersion Corporation,France,Euronext,Common Stock,Twelve Data,ALIMR
ALINN,Innelec Multimedia S.A.,France,Euronext,Common Stock,Twelve Data,ALINN
ALINS,Intrasense S.A.,France,Euronext,Common Stock,Twelve Data,ALINS
ALINT,Integragen S.A.,France,Euronext,Common Stock,Twelve Data,ALINT
ALINV,Invibes Advertising S.A.,France,Euronext,Common Stock,Twelve Data,ALINV
ALISP,Ispd Network Inc.,France,Euronext,Common Stock,Twelve Data,ALISP
ALITL,It Link S.A.,France,Euronext,Common Stock,Twelve Data,ALITL
ALJXR,Archos S.A.,France,Euronext,Common Stock,Twelve Data,ALJXR
ALKAL,Kalray S.A.,France,Euronext,Common Stock,Twelve Data,ALKAL
ALKEY,Keyrus S.A.,France,Euronext,Common Stock,Twelve Data,ALKEY
ALKKO,Kko International S.A.,France,Euronext,Common Stock,Twelve Data,ALKKO
ALKLA,Klarsen.,France,Euronext,Common Stock,Twelve Data,ALKLA
ALKLH,Klea Holding Inc.,France,Euronext,Common Stock,Twelve Data,ALKLH
ALKLK,Kerlink S.A.,France,Euronext,Common Stock,Twelve Data,ALKLK
ALKLN,Kaleon S.p.A.,France,Euronext,Common Stock,Twelve Data,ALKLN
ALKOM,Plasticos Compuestos S.A.,France,Euronext,Common Stock,Twelve Data,ALKOM
ALLAN,Lanson-BCC S.A.,France,Euronext,Common Stock,Twelve Data,ALLAN
ALLDL,Groupe LDLC S.A.,France,Euronext,Common Stock,Twelve Data,ALLDL
ALLEX,Lexibook Linguistic Electronic System S.A.,France,Euronext,Common Stock,Twelve Data,ALLEX
ALLGO,Largo Inc.,France,Euronext,Common Stock,Twelve Data,ALLGO
ALLHB,Les Hotels Baverez,France,Euronext,Common Stock,Twelve Data,ALLHB
ALLIX,Wallix Group,France,Euronext,Common Stock,Twelve Data,ALLIX
ALLLN,Lleidanetworks Serveis Telemàtics S.A.,France,Euronext,Common Stock,Twelve Data,ALLLN
