ts,ticker,action,score,last
2026-03-06T15:31:20,AAL,SÆLG / UNDGÅ,3.16,11.33530044555664
2026-03-06T15:32:28,NOVO-B.CO,SÆLG / UNDGÅ,0.83,247.9499969482422
2026-03-06T15:40:29,AACB,KØB / KIG NÆRMERE,4.46,10.34000015258789
2026-03-06T15:40:36,NOVO-B.CO,SÆLG / UNDGÅ,0.83,248.5
2026-03-06T16:05:23,AACB,KØB / KIG NÆRMERE,4.9,10.34000015258789
2026-03-06T16:06:14,AAL,SÆLG / UNDGÅ,3.2,11.335000038146973
2026-03-06T16:06:38,AACB,KØB / KIG NÆRMERE,4.9,10.34000015258789
2026-03-06T16:19:19,AMBU-B.CO,SÆLG / UNDGÅ,1.43,75.6500015258789
2026-03-06T16:19:58,NOVO-B.CO,SÆLG / UNDGÅ,1.31,247.8999938964844
2026-03-06T16:20:03,VWS.CO,HOLD / AFVENT,3.61,157.0
2026-03-06T16:21:02,TRYG.CO,HOLD / AFVENT,1.99,153.3000030517578
2026-03-06T16:21:08,ORSTED.CO,HOLD / AFVENT,1.81,142.4499969482422
2026-03-06T16:21:26,NETC.CO,HOLD / AFVENT,4.82,339.79998779296875
2026-03-06T16:31:49,AACB,KØB / KIG NÆRMERE,4.9,10.34000015258789
2026-03-06T16:31:54,NETC.CO,HOLD / AFVENT,4.82,339.79998779296875
2026-03-06T16:31:59,AACB,KØB / KIG NÆRMERE,4.9,10.34000015258789
2026-03-06T16:32:30,NETC.CO,HOLD / AFVENT,4.82,339.79998779296875
2026-03-06T16:32:33,AACB,KØB / KIG NÆRMERE,4.9,10.34000015258789
2026-03-06T16:37:16,NETC.CO,HOLD / AFVENT,4.82,339.79998779296875
2026-03-06T16:37:18,AACB,KØB / KIG NÆRMERE,4.9,10.34000015258789
2026-03-06T16:37:34,TSLA,KØB / KIG NÆRMERE,3.77,399.0199890136719
2026-03-06T16:37:36,AACB,KØB / KIG NÆRMERE,4.9,10.34000015258789
2026-03-06T16:37:37,TSLA,KØB / KIG NÆRMERE,3.77,399.0199890136719
2026-03-06T16:38:19,TSLA,KØB / KIG NÆRMERE,3.77,398.9450073242188
2026-03-06T16:38:20,TSLA,KØB / KIG NÆRMERE,3.76,398.8800048828125
2026-03-06T16:38:27,TSLA,KØB / KIG NÆRMERE,3.78,399.2000122070313
2026-03-06T16:38:34,TSLA,KØB / KIG NÆRMERE,3.78,399.2000122070313
2026-03-06T16:38:41,TSLA,KØB / KIG NÆRMERE,3.78,399.2000122070313
2026-03-06T16:38:46,TSLA,KØB / KIG NÆRMERE,3.78,399.2000122070313
2026-03-06T16:38:52,TSLA,KØB / KIG NÆRMERE,3.78,399.2000122070313
